"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
050235,MSPB-1,1.014203,,01/01/2024,12/31/2024
050236,MSPB-1,1.002352,,01/01/2024,12/31/2024
050238,MSPB-1,1.130393,,01/01/2024,12/31/2024
050239,MSPB-1,1.086025,,01/01/2024,12/31/2024
050242,MSPB-1,0.997551,,01/01/2024,12/31/2024
050243,MSPB-1,1.041916,,01/01/2024,12/31/2024
050245,MSPB-1,1.017185,,01/01/2024,12/31/2024
050248,MSPB-1,1.040691,,01/01/2024,12/31/2024
050254,MSPB-1,0.947312,,01/01/2024,12/31/2024
050257,MSPB-1,1.420489,,01/01/2024,12/31/2024
050261,MSPB-1,1.017732,,01/01/2024,12/31/2024
050262,MSPB-1,0.994904,,01/01/2024,12/31/2024
050272,MSPB-1,1.048143,,01/01/2024,12/31/2024
050276,MSPB-1,0.960871,,01/01/2024,12/31/2024
050278,MSPB-1,1.013140,,01/01/2024,12/31/2024
050279,MSPB-1,0.917095,,01/01/2024,12/31/2024
050280,MSPB-1,1.027178,,01/01/2024,12/31/2024
050281,MSPB-1,1.182941,,01/01/2024,12/31/2024
050283,MSPB-1,1.010857,,01/01/2024,12/31/2024
050289,MSPB-1,1.008814,,01/01/2024,12/31/2024
050290,MSPB-1,1.022275,,01/01/2024,12/31/2024
050291,MSPB-1,0.957568,,01/01/2024,12/31/2024
050292,MSPB-1,1.049696,,01/01/2024,12/31/2024
050295,MSPB-1,1.040802,,01/01/2024,12/31/2024
050298,MSPB-1,1.044393,,01/01/2024,12/31/2024
050300,MSPB-1,0.985331,,01/01/2024,12/31/2024
050301,MSPB-1,0.946847,,01/01/2024,12/31/2024
050305,MSPB-1,0.973333,,01/01/2024,12/31/2024
050308,MSPB-1,1.006080,,01/01/2024,12/31/2024
050309,MSPB-1,0.948595,,01/01/2024,12/31/2024
050313,MSPB-1,0.975446,,01/01/2024,12/31/2024
050315,MSPB-1,0.979245,,01/01/2024,12/31/2024
050320,MSPB-1,1.004548,,01/01/2024,12/31/2024
050324,MSPB-1,0.966142,,01/01/2024,12/31/2024
050327,MSPB-1,0.993294,,01/01/2024,12/31/2024
050329,MSPB-1,1.040333,,01/01/2024,12/31/2024
050334,MSPB-1,0.981525,,01/01/2024,12/31/2024
050335,MSPB-1,0.907713,,01/01/2024,12/31/2024
050336,MSPB-1,1.002080,,01/01/2024,12/31/2024
050342,MSPB-1,0.871798,,01/01/2024,12/31/2024
050348,MSPB-1,1.018453,,01/01/2024,12/31/2024
050351,MSPB-1,0.935292,,01/01/2024,12/31/2024
050352,MSPB-1,0.869311,,01/01/2024,12/31/2024
050353,MSPB-1,0.972986,,01/01/2024,12/31/2024
050357,MSPB-1,1.005431,,01/01/2024,12/31/2024
050360,MSPB-1,0.979058,,01/01/2024,12/31/2024
050367,MSPB-1,0.943835,,01/01/2024,12/31/2024
050373,MSPB-1,0.881936,,01/01/2024,12/31/2024
050376,MSPB-1,0.892931,,01/01/2024,12/31/2024
050378,MSPB-1,1.308470,,01/01/2024,12/31/2024
050380,MSPB-1,1.021802,,01/01/2024,12/31/2024
050382,MSPB-1,1.178576,,01/01/2024,12/31/2024
050390,MSPB-1,1.087776,,01/01/2024,12/31/2024
050393,MSPB-1,0.985106,,01/01/2024,12/31/2024
050394,MSPB-1,1.012195,,01/01/2024,12/31/2024
050396,MSPB-1,1.008127,,01/01/2024,12/31/2024
050407,MSPB-1,0.904581,,01/01/2024,12/31/2024
050411,MSPB-1,0.987764,,01/01/2024,12/31/2024
050414,MSPB-1,0.937560,,01/01/2024,12/31/2024
